bh_pub_index;bh_pub_XCOORD;bh_pub_YCOORD;bh_pub_ZCOORDB;bh_pub_ORIGNAME;bh_pub_NAMEPUB;bh_pub_SHORTNAME;bh_pub_BOHREDAT;bh_pub_BOHRTYP;bh_pub_GRUND;bh_pub_RESTRICTIO;bh_pub_TIEFEMD;bh_pub_DEPTHFROM;bh_pub_DEPTHTO;bh_pub_LAYERDESC;bh_pub_ORIGGEOL;bh_pub_LITHOLOGY;bh_pub_LITHOSTRAT;bh_pub_CHRONOSTR;bh_pub_TECTO;bh_pub_USCS1;bh_pub_USCS2;bh_pub_USCS3;bh_pub_geometry;bh_pub_geom4326;bh_pub_x4326;bh_pub_y4326
66754;2675522.0;1224593.0;461.0;Huenenberg-1;Huenenberg-1;4VE4GYC800;1965-09-05;B;geotherm;f;3288.0;0.0;2.0;Humus, Lehm und Kalkbrocken sowie aufgearbeiteter Sandstein.;Quartär;Uvvun;;q;;;;;POINT (2675522 1224593);POINT (8.434745790989172 47.16798915345974);8.434745790989172;47.16798915345974
72209;2620358.0;1178553.0;1076.5;Thun_1;Thun_1;5YE4GYC800;1989-08-01;B;geotherm;f;5945.0;0.0;33.0;Eboulis de pente, gréseux avec quelques galet de quartz.;Quaternaire;Uvh;;q;;;;;POINT (2620358 1178553);POINT (7.705102431532582 46.75785143769887);7.705102431532582;46.75785143769888
66605;2584603.0;1214885.0;549.8;Hermrigen_1;Hermrigen_1;AUE4GYC800;1982-09-24;B;geotherm;f;2425.0;0.0;260.0;"TEST_TEST_TEST:
Argile à marne, gris verdâtre à rouge, legt. dolo. parfois silteuse à sableuse
Intercalations de grès fins à moyens, mal classés, grains anguleux, cimt. argilo-carbonaté, micacés, glauconieux.
Fins lits de calcaire mudstone beige à brun, avec de fines veines de calcite.";Molasse Tertiaire;SkpTm;;Ter;;;;;POINT (2584603 1214885);POINT (7.235867981534161 47.08479343708304);7.235867981534161;47.084793437083036
70788;2546271.0;1155312.0;838.9;Savigny_1;Savigny_1;DXE4GYC800;1960-08-31;B;geotherm;f;2486.0;0.0;17.0;"Spülprobe 5-15 m:
Feinkies, grau, neben einzelnen bis ca. 3 cm großen,  kaum gerundeten, überwiegend zerbohrten Quarz-, Kristallin- und seltenen Kalkalpingeröllen vorwiegend harter, grauer, glimmerreicher, kalkiger Feinsandstein und etwas mürber, schwach glimmeriger, stark von rötlichem Feldspat und grünlichen Mineralkörnern durchsetzter Mittelsandstein (Sandsteine wohl aufgearbeitete Molasse); daneben z.T. fester, z.T. mürber, bis zu Schmand zerbohrter rötlicher, in Sp. 15 m meist mittelgrauer, braun gefleckter Tonmergelstein; in Sp. 15 m außerdem wenig weißer, mehliger Gips.";Quartär;;;q;;;;;POINT (2546271 1155312);POINT (6.738112792049962 46.54693060591861);6.7381127920499635;46.54693060591861
65749;2539775.0;1173490.0;660.56;Essertines_1;Essertines_1;I95RV03900;1963-07-22;B;geotherm;f;2936.1;0.0;4.0;Pas décrit dans le rapport, la base MD est évaluée.;Quartär;;;q;;;;;POINT (2539775 1173490);POINT (6.65103871477282 46.70988884418609);6.65103871477282;46.709888844186096
69725;2632708.0;1231789.0;499.8;Pfaffnau_1;Pfaffnau_1;LWE4GYC800;1963-12-20;B;geotherm;f;1843.0;0.0;3.0;Untere Süsswassermolasse;Untere Süsswassermolasse;;;;;;;;POINT (2632708 1231789);POINT (7.870579872584427 47.23621511512004);7.870579872584428;47.23621511512004
67388;2729201.0;1276169.0;538.5;Kreuzlingen_1;Kreuzlingen_1;UVE4GYC800;1962-10-14;B;geotherm;f;2550.0;0.0;4.0;"Lehm, gelbbraun, etwas plastisch, weich , formbar, mit ca. 10 % Sand und 40 % meist
Kalk- und weniger Quarzgeröllen, (Probe aus Grube 45 m WNW Bohrpunkt aber  repräsentativ) (Moräne).";Quartär;Ugmun;;q;;;;;POINT (2729201 1276169);POINT (9.157483561138358 47.62345497518403);9.157483561138356;47.62345497518403
